[2024-05-23 12:18:48,630: INFO: main: Testing custom log]
[2024-05-24 14:20:44,102: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<<<]
[2024-05-24 14:20:44,105: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-05-24 14:20:44,108: INFO: common: yaml file: params.yaml loaded successfully]
[2024-05-24 14:20:44,110: INFO: common: created directory at: artifacts]
[2024-05-24 14:20:44,113: INFO: common: created directory at: artifacts/data_ingestion]
[2024-05-24 14:20:44,115: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-24 14:20:54,593: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-05-24 14:21:04,696: INFO: main: >>>>>>> stage Data Ingestion Stage completed <<<<<<<<

x==========x]
